Date,Year,Month,Day,Daily Rainfall Total (mm),Mean Temperature (°C),Mean Humidity (%)
2013-09-22,2013,9,22,0.0,29.2,74.2
2013-09-23,2013,9,23,0.0,29.1,75.2
2013-09-24,2013,9,24,0.0,29.4,73.9
2013-09-25,2013,9,25,52.6,27.5,87.3
2013-09-26,2013,9,26,0.4,26.5,86.4
2013-09-27,2013,9,27,0.0,28.1,79.5
2013-09-28,2013,9,28,33.4,28.2,78.2
2013-09-29,2013,9,29,2.2,27.7,79.9
2013-09-30,2013,9,30,0.4,27.2,81.9
2013-10-01,2013,10,1,16.8,28.8,78.3
2013-10-02,2013,10,2,2.4,26.7,82.1
2013-10-03,2013,10,3,0.0,27.6,80.5
2013-10-04,2013,10,4,3.0,28.2,76.0
2013-10-05,2013,10,5,4.2,27.9,78.2
2013-10-06,2013,10,6,0.0,28.2,73.3
2013-10-07,2013,10,7,0.0,28.5,70.9
2013-10-08,2013,10,8,28.6,29.4,71.3
2013-10-09,2013,10,9,0.0,28.0,79.7
2013-10-10,2013,10,10,0.6,28.0,81.9
2013-10-11,2013,10,11,0.6,27.2,82.9
2013-10-12,2013,10,12,0.4,28.2,76.0
2013-10-13,2013,10,13,17.8,28.1,77.5
2013-10-14,2013,10,14,139.8,27.4,82.3
2013-10-15,2013,10,15,13.0,26.7,85.8
2013-10-16,2013,10,16,0.4,28.8,79.4
2013-10-17,2013,10,17,0.0,28.9,79.4
2013-10-18,2013,10,18,6.6,28.6,80.5
2013-10-19,2013,10,19,0.8,27.6,83.1
2013-10-20,2013,10,20,33.4,26.5,85.2
2013-10-21,2013,10,21,4.4,27.0,83.8
2013-10-22,2013,10,22,0.0,26.7,85.6
2013-10-23,2013,10,23,0.0,27.6,79.8
2013-10-24,2013,10,24,0.0,27.1,83.1
2013-10-25,2013,10,25,0.0,28.1,79.7
2013-10-26,2013,10,26,0.0,27.9,79.8
2013-10-27,2013,10,27,0.8,26.7,84.3
2013-10-28,2013,10,28,0.0,26.6,86.5
2013-10-29,2013,10,29,2.4,27.6,84.8
2013-10-30,2013,10,30,9.4,26.9,85.0
2013-10-31,2013,10,31,0.0,27.6,82.1
2013-11-01,2013,11,1,25.6,26.9,86.8
2013-11-02,2013,11,2,32.4,26.7,90.2
2013-11-03,2013,11,3,0.0,27.5,83.3
2013-11-04,2013,11,4,19.4,26.6,87.3
2013-11-05,2013,11,5,44.0,26.8,87.3
2013-11-06,2013,11,6,0.0,27.3,80.7
2013-11-07,2013,11,7,0.0,28.3,77.6
2013-11-08,2013,11,8,21.8,27.2,86.4
2013-11-09,2013,11,9,4.0,26.6,92.5
2013-11-10,2013,11,10,13.6,26.6,88.7
2013-11-11,2013,11,11,2.2,27.3,86.9
2013-11-12,2013,11,12,5.0,25.5,93.3
2013-11-13,2013,11,13,22.6,27.4,82.0
2013-11-14,2013,11,14,0.0,26.8,85.9
2013-11-15,2013,11,15,0.8,26.5,88.8
2013-11-16,2013,11,16,0.0,27.9,81.6
2013-11-17,2013,11,17,0.0,26.2,87.1
2013-11-18,2013,11,18,0.0,27.3,81.5
2013-11-19,2013,11,19,1.6,27.8,79.8
2013-11-20,2013,11,20,1.6,28.0,78.2
2013-11-21,2013,11,21,0.0,28.8,74.3
2013-11-22,2013,11,22,11.2,28.1,80.5
2013-11-23,2013,11,23,0.4,26.9,85.2
2013-11-24,2013,11,24,1.6,27.2,86.3
2013-11-25,2013,11,25,15.8,27.0,89.0
2013-11-26,2013,11,26,12.6,26.8,88.8
2013-11-27,2013,11,27,17.6,27.4,84.7
2013-11-28,2013,11,28,1.2,26.7,88.3
2013-11-29,2013,11,29,7.6,27.3,85.6
2013-11-30,2013,11,30,29.8,27.0,88.8
2013-12-01,2013,12,1,25.6,26.1,94.7
2013-12-02,2013,12,2,11.8,25.0,94.5
2013-12-03,2013,12,3,119.8,25.6,92.8
2013-12-04,2013,12,4,0.4,25.5,91.0
2013-12-05,2013,12,5,0.4,26.7,87.4
2013-12-06,2013,12,6,7.4,25.4,92.6
2013-12-07,2013,12,7,0.0,26.5,86.3
2013-12-08,2013,12,8,37.8,25.0,92.1
2013-12-09,2013,12,9,0.0,26.7,86.8
2013-12-10,2013,12,10,0.8,27.1,87.5
2013-12-11,2013,12,11,0.0,27.5,83.7
2013-12-12,2013,12,12,2.8,27.2,87.2
2013-12-13,2013,12,13,0.0,27.7,81.9
2013-12-14,2013,12,14,19.0,26.8,85.4
2013-12-15,2013,12,15,14.4,26.2,88.0
2013-12-16,2013,12,16,0.0,28.0,81.2
2013-12-17,2013,12,17,0.0,27.8,81.2
2013-12-18,2013,12,18,75.0,26.4,83.9
2013-12-19,2013,12,19,0.2,25.9,85.3
2013-12-20,2013,12,20,11.2,25.6,89.8
2013-12-21,2013,12,21,0.0,26.1,87.1
2013-12-22,2013,12,22,1.2,26.6,83.3
2013-12-23,2013,12,23,2.4,25.5,90.6
2013-12-24,2013,12,24,0.6,26.9,81.5
2013-12-25,2013,12,25,0.0,27.3,79.9
2013-12-26,2013,12,26,1.4,26.7,84.8
2013-12-27,2013,12,27,0.0,27.2,82.2
2013-12-28,2013,12,28,0.2,26.7,83.7
2013-12-29,2013,12,29,0.0,26.6,81.1
2013-12-30,2013,12,30,2.4,26.7,83.2
2013-12-31,2013,12,31,13.4,25.8,90.2
2014-01-01,2014,1,1,0.0,26.7,85.3
2014-01-02,2014,1,2,0.0,27.4,83.0
2014-01-03,2014,1,3,0.0,27.1,85.5
2014-01-04,2014,1,4,0.0,27.1,82.8
2014-01-05,2014,1,5,18.4,24.8,92.3
2014-01-06,2014,1,6,31.2,25.3,95.6
2014-01-07,2014,1,7,0.0,26.7,83.8
2014-01-08,2014,1,8,0.0,27.1,78.7
2014-01-09,2014,1,9,2.0,25.9,87.5
2014-01-10,2014,1,10,0.0,26.8,83.9
2014-01-11,2014,1,11,5.6,26.6,83.7
2014-01-12,2014,1,12,18.2,26.2,88.6
2014-01-13,2014,1,13,0.0,26.9,79.6
